id,num_elevator
1,3
10,3
105,2
110,2
114,3
120,1
133,7
135,2
14,3
140,1
157,5
159,1
163,2
176,7
178,3
189,0
194,2
205,4
219,3
223,3
225,2
226,2
227,2
241,3
25,5
250,3
253,2
256,2
262,2
269,3
276,2
277,1
279,0
280,2
283,2
291,5
294,3
3,2
305,3
315,3
331,2
34,3
345,0
347,3
348,0
35,3
350,3
352,2
353,2
354,5
355,0
359,3
360,4
363,3
369,4
373,3
400,3
405,3
409,3
41,3
414,19
420,2
425,0
430,19
434,5
436,2
438,4
439,4
445,5
46,2
460,3
469,2
470,3
471,4
49,10
5,3
57,2
59,3
67,2
69,1
72,2
77,2
8,3
82,1
84,5
9,2
